,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114193179,736,712,665,701,766,827
LOC114162253,0,0,0,0,0,0
LOC114195646,222,217,179,267,218,309
LOC114191456,93,75,82,111,74,124
LOC114175092,1198,736,807,1168,1111,1431
LOC114164231,390,344,456,297,431,316
LOC114188306,39,30,44,36,32,55
LOC114182094,0,0,0,0,0,0
LOC114163880,0,0,0,0,0,0
LOC114169561,437,398,419,556,484,689
LOC114174574,44,26,17,56,35,27
LOC114191670,183,199,112,104,74,109
LOC114165704,0,0,0,0,0,0
LOC114188316,0,0,0,0,0,0
LOC114178499,62,69,72,37,62,35
LOC114178043,6,8,6,13,10,7
LOC114178035,112,163,64,208,183,244
LOC114162839,220,234,71,14,28,32
LOC114188320,0,0,0,0,0,0
LOC114188328,0,0,0,0,0,0
LOC114163584,772,908,862,920,840,1019
LOC114163594,41077,29716,34787,19812,26543,26272
LOC114162092,1028,685,766,669,780,837
LOC114186848,162,96,107,197,90,483
LOC114183859,309,343,317,318,394,356
LOC114175720,363,219,174,259,198,245
LOC114164375,478,463,445,825,491,874
LOC114188348,0,0,0,0,0,0
LOC114194215,222,164,181,155,193,205
LOC114192314,175,123,128,209,157,174
LOC114188354,0,0,0,0,0,0
LOC114188376,0,0,0,0,0,0
LOC114195536,0,1,0,36,6,2
