Geneid,C-1H-RB1,C-1H-RB2,C-1H-RB3,T-1H-RB1,T-1H-RB2,T-1H-RB3
LOC114163225,0,0,0,0,0,0
LOC114187631,0,0,0,0,0,0
LOC114187647,0,2,3,3,0,0
LOC114177478,12,4,6,2,6,4
LOC114162284,175,182,119,207,159,206
TRNAS-GCU,0,0,0,0,0,0
LOC114184159,124,114,93,159,144,132
LOC114177429,16,22,8,38,24,36
LOC114175255,34,27,37,39,24,31
LOC114162165,4,24,14,16,20,18
LOC114178237,0,0,0,0,0,0
LOC114181822,2,4,4,2,2,4
LOC114179809,0,0,0,4,2,0
LOC114174167,0,0,0,0,0,0
LOC114162506,4,2,0,4,6,2
LOC114177325,38,84,74,188,116,109
LOC114174589,0,0,0,0,0,0
LOC114194795,366,494,433,629,389,418
LOC114162764,342,391,288,393,305,401
LOC114162247,0,4,0,6,8,4
LOC114171760,121,82,49,218,202,220
LOC114164049,1346,1819,1886,1957,2543,2296
LOC114189615,435,529,561,598,520,574
LOC114175119,50,124,153,75,105,101
LOC114195213,4,0,4,8,8,6
LOC114195221,256,396,313,349,332,328
LOC114187676,0,0,0,0,0,0
LOC114196035,96,98,73,137,129,158
LOC114175304,233,376,395,340,433,389
LOC114165620,0,0,0,0,0,0
LOC114163103,0,0,0,0,0,0
LOC114191645,506,747,549,722,697,718
LOC114192558,283,343,250,598,507,594
LOC114178728,0,0,0,0,0,0
LOC114180464,603,834,774,702,800,749
LOC114181549,45,50,46,41,46,40
LOC114165518,0,0,0,0,0,0
LOC114165550,0,1,0,0,4,2
LOC114185105,0,0,0,0,0,0
LOC114165530,0,0,0,0,0,0
LOC114185097,33,50,64,67,66,101
LOC114185137,781,773,753,1238,1372,948
LOC114177487,4,4,12,12,20,10
LOC114187720,0,0,0,0,0,0
LOC114163913,0,0,0,0,0,0
LOC114192646,367,537,397,541,561,543
LOC114189136,39,30,26,64,40,30
LOC114194781,17,23,13,7,10,13
LOC114187732,18,12,22,12,7,21
LOC114183753,42,57,161,119,222,140
LOC114187736,0,0,0,0,0,0
LOC114164943,0,0,0,0,0,0
LOC114187751,2,1,0,1,2,2
LOC114179252,2,0,0,0,2,2
LOC114179107,2,0,8,6,22,10
LOC114187766,0,0,0,0,0,0
LOC114185195,127,231,155,294,238,320
LOC114176123,12,6,4,4,3,4
LOC114187768,4,1,1,4,1,0
LOC114176116,14,29,35,52,15,24
LOC114176321,0,0,0,0,0,0
LOC114187778,0,0,0,0,0,0
LOC114182072,0,0,0,1,1,0
LOC114165607,0,0,0,0,0,0
LOC114195363,24,59,36,54,48,41
LOC114187795,0,0,0,0,0,0
LOC114187801,0,0,0,0,0,0
LOC114187808,0,0,0,0,0,0
LOC114163889,82,180,82,323,287,196
LOC114181638,6,0,0,2,0,5
LOC114173969,91,116,113,99,105,99
LOC114186780,333,514,389,383,358,493
LOC114186801,12,6,4,6,6,4
LOC114186794,0,2,2,6,2,2
LOC114185549,4,10,10,11,13,12
LOC114185624,0,0,0,0,0,0
LOC114176312,6,8,10,38,31,24
LOC114187816,0,0,0,0,0,0
LOC114163964,4,2,0,0,4,0
LOC114194913,0,0,0,0,0,0
LOC114183182,299,270,208,426,354,535
LOC114187834,0,0,0,0,0,0
LOC114186767,135,162,175,207,211,239
LOC114178747,275,345,223,345,342,366
LOC114191694,17486,30043,31352,20417,28861,28991
LOC114187849,133,113,82,95,86,112
LOC114185307,2987,5430,4629,4556,6275,6765
LOC114187858,0,0,0,0,0,0
LOC114191515,47,52,40,98,89,108
LOC114175465,0,0,0,0,0,0
LOC114187880,0,0,0,0,0,0
LOC114187895,0,0,0,0,0,0
LOC114165625,0,0,0,0,0,0
LOC114180646,5,18,16,14,12,10
LOC114192639,270,413,347,422,403,453
LOC114187904,0,0,0,0,0,0
LOC114187913,1,3,7,8,12,11
LOC114187918,0,0,0,0,0,0
LOC114174486,0,0,0,0,0,0
LOC114177874,217,289,308,281,270,395
LOC114165602,0,0,0,0,0,0
LOC114183054,105,104,95,134,136,161
LOC114187944,0,0,0,0,0,0
LOC114187971,0,0,0,0,0,0
LOC114184634,1146,1734,1242,1827,1632,1884
LOC114185042,6923,9406,7787,8582,9985,9828
LOC114187977,0,0,0,0,0,0
LOC114173050,38,85,53,45,52,53
LOC114194234,728,927,815,797,916,905
LOC114187999,0,0,0,0,0,0
LOC114165643,0,0,0,0,0,0
LOC114177053,0,0,0,0,0,0
LOC114185421,243,326,306,224,216,335
LOC114194833,2299,2523,2039,2457,1947,2813
LOC114194847,526,299,390,836,595,889
LOC114188022,0,0,0,0,0,0
LOC114167809,72,110,90,88,119,128
LOC114181151,30,33,41,24,22,45
LOC114186715,223,286,220,357,250,331
LOC114188032,0,0,0,0,0,0
LOC114181986,6,2,6,0,0,0
LOC114188047,0,0,0,0,0,0
LOC114175616,22,42,32,51,22,28
LOC114188055,0,0,0,0,0,0
LOC114188063,0,0,0,0,0,0
LOC114170289,12,42,45,19,36,31
LOC114188077,0,0,0,0,0,0
LOC114184665,595,898,731,601,699,846
LOC114188083,0,0,0,0,0,0
LOC114175381,2,2,3,0,0,2
TRNAS-AGA,0,0,0,0,0,0
LOC114195923,0,0,0,0,0,0
LOC114165421,0,0,0,0,0,0
LOC114176685,223,178,159,281,228,324
LOC114165408,0,0,0,0,0,0
LOC114165414,0,0,0,0,0,0
LOC114177203,20,31,22,17,21,15
LOC114177208,0,0,0,0,0,0
LOC114177193,16,17,24,4,14,14
LOC114179242,2,0,0,2,6,0
LOC114188090,0,0,0,0,0,0
LOC114183462,458,697,415,703,567,542
LOC114190617,0,0,0,0,0,0
LOC114192044,1,1,1,0,2,0
LOC114188106,0,0,0,0,0,0
LOC114192052,0,0,0,0,1,0
LOC114165636,0,0,0,0,0,0
LOC114192037,0,0,0,0,0,1
LOC114185903,77,48,43,68,53,48
LOC114193643,470,732,796,578,692,849
LOC114188114,107,96,87,107,87,113
LOC114175660,494,610,533,479,510,561
LOC114175675,11,4,6,19,8,18
LOC114175394,113,134,92,159,129,134
LOC114162148,608,713,688,786,731,1211
LOC114188127,0,0,0,1,0,0
LOC114188143,0,0,0,0,0,0
LOC114188152,0,0,0,0,0,0
LOC114173184,77,152,92,160,146,162
LOC114179906,247,372,253,444,357,279
LOC114162376,174,218,263,333,299,303
LOC114194740,0,0,0,1,0,0
LOC114162369,2,2,0,4,0,0
LOC114180636,0,2,0,4,26,3
LOC114181057,5,0,0,6,15,6
LOC114181213,4,14,24,26,12,24
LOC114188171,0,0,0,0,0,0
LOC114188180,0,0,0,0,0,0
LOC114166167,0,0,0,0,0,0
LOC114166053,82,79,113,43,54,57
TRNAN-GUU,0,0,0,0,0,0
LOC114170487,155,196,120,213,215,178
LOC114188190,0,0,0,0,0,0
LOC114195593,0,0,0,0,0,0
LOC114162847,115,42,26,477,857,395
LOC114188206,0,0,0,0,0,0
TRNAD-GUC_1,0,0,0,0,0,0
LOC114192900,1173,1018,645,1570,852,1462
LOC114180877,549,737,522,857,564,746
LOC114179603,0,0,0,0,0,0
LOC114188247,0,0,0,0,0,0
LOC114188262,0,0,0,0,0,0
LOC114169614,1385,2496,2333,1650,2119,2322
LOC114180195,0,0,0,0,0,0
LOC114162093,0,0,0,2,0,2
LOC114185602,0,4,2,4,12,10
LOC114188284,0,0,0,0,0,0
LOC114185610,670,1423,1396,1019,1325,1099
LOC114173175,97,146,97,145,136,124
LOC114178268,143,211,197,255,154,209
LOC114173341,123,189,212,221,232,215
LOC114186856,71,54,66,72,73,99
LOC114178872,663,612,400,751,516,691
LOC114193179,809,809,502,1028,775,981
LOC114162253,31,26,34,26,36,39
LOC114195646,161,152,132,218,125,191
LOC114191456,96,88,82,121,90,134
LOC114175092,453,804,841,1055,1046,976
LOC114164231,271,371,278,588,571,495
LOC114188306,34,60,46,51,63,60
LOC114182094,0,0,0,0,0,0
LOC114163880,0,0,0,0,0,0
LOC114169561,460,578,348,441,373,571
LOC114174574,43,46,42,55,41,83
LOC114191670,208,137,76,153,125,135
LOC114165704,0,0,0,0,0,0
LOC114188316,0,0,0,0,0,0
LOC114178499,99,44,53,77,78,79
LOC114178043,8,3,13,7,6,12
LOC114178035,89,93,82,256,160,253
LOC114162839,849,725,1092,126,154,229
LOC114188320,0,0,0,0,0,0
LOC114188328,0,0,0,0,0,0
LOC114163584,1020,1085,584,1480,952,1412
LOC114163594,14965,34451,43304,19157,32162,25469
LOC114162092,757,1107,1088,1013,1100,978
LOC114186848,178,188,353,251,266,329
LOC114183859,352,375,285,461,467,528
LOC114175720,216,295,276,377,327,356
LOC114164375,565,626,566,922,753,1001
LOC114188348,0,0,0,0,0,0
LOC114194215,232,275,221,244,217,258
LOC114192314,105,206,182,260,223,264
