,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logP
LOC114194613,110.0899104,1.720683427,0.313527925,5.488134512,4.06E-08,3.69E-06,7.39125933
LOC114168345,1075.954548,-1.308259285,0.238473165,-5.485981142,4.11E-08,3.72E-06,7.385967211
LOC114175546,2023.351466,1.460256419,0.266271681,5.484084581,4.16E-08,3.74E-06,7.381307847
LOC114174268,224.9668997,1.71808574,0.313514928,5.48007634,4.25E-08,3.80E-06,7.371465623
LOC114193747,29.87736088,6.278104941,1.145689097,5.479763191,4.26E-08,3.80E-06,7.370696972
LOC114181659,48.64933587,3.221724773,0.588432996,5.475091977,4.37E-08,3.89E-06,7.359235992
LOC114194557,807.4713649,1.050774288,0.19202944,5.47194373,4.45E-08,3.94E-06,7.351516861
LOC114179024,29.5571881,3.041994539,0.557731105,5.454231465,4.92E-08,4.34E-06,7.308166436
LOC114167200,158.1352807,1.42298862,0.261672846,5.43804464,5.39E-08,4.71E-06,7.26866528
LOC114185456,506.3180342,-1.164647621,0.21443591,-5.431215424,5.60E-08,4.87E-06,7.252032921
LOC114175476,310.898533,1.263430201,0.232693228,5.429595927,5.65E-08,4.90E-06,7.248091568
LOC114176364,383.489824,-1.213289555,0.223550507,-5.427362125,5.72E-08,4.94E-06,7.242657003
LOC114194026,264.2425272,-1.476895272,0.272194543,-5.425881276,5.77E-08,4.96E-06,7.239055442
LOC114164567,919.7362301,1.109176533,0.204459534,5.424919604,5.80E-08,4.96E-06,7.236717062
LOC114164841,316.9761157,-1.525023877,0.281229821,-5.422696177,5.87E-08,5.01E-06,7.231312121
LOC114186317,61.42918689,2.751455087,0.507469986,5.421907036,5.90E-08,5.01E-06,7.229394297
LOC114166411,164.3514864,1.812043777,0.334556171,5.416261711,6.09E-08,5.15E-06,7.215682295
LOC114169606,1437.134113,1.238910185,0.229048383,5.408945339,6.34E-08,5.34E-06,7.197931472
LOC114193605,1547.949212,-1.281014949,0.236989766,-5.405359774,6.47E-08,5.43E-06,7.189240496
LOC114190575,172.4025699,1.444844594,0.267351117,5.404296081,6.51E-08,5.44E-06,7.186663277
LOC114166197,85.01055563,1.980130213,0.366748501,5.399150125,6.70E-08,5.57E-06,7.174201888
LOC114166571,21.82555558,7.710699887,1.429002516,5.395861659,6.82E-08,5.65E-06,7.166244426
LOC114189201,135.5243099,-1.414870033,0.262595108,-5.388028903,7.12E-08,5.86E-06,7.147309017
LOC114172221,489.4332647,-1.092164688,0.202842342,-5.384303289,7.27E-08,5.96E-06,7.13831156
LOC114182199,386.9613912,2.0460632,0.38077875,5.373364979,7.73E-08,6.31E-06,7.111929071
